ts_code,end_date,bz_item,0
002052.SZ,20201231,其他业务,3
600834.SH,20181231,地铁一号线,3
002797.SZ,20190630,投资银行业务,3
601928.SH,20181231,出版-文化用品及其他,3
600100.SH,20181231,内部抵销,3
600100.SH,20181231,智慧城市,3
002797.SZ,20190630,未分配项目,3
600246.SH,20191231,其他业务,3
600100.SH,20190630,内部抵销,3
600100.SH,20190630,总部与投资,3
002797.SZ,20190630,内部抵销,3
600100.SH,20191231,内部抵销,3
601928.SH,20191231,内部抵销,3
600246.SH,20181231,香河运河国际生态城一期,3
600834.SH,20190630,地铁票务,3
600100.SH,20200630,内部抵销,3
002797.SZ,20181231,证券经纪业务,3
600246.SH,20181231,其他业务,3
600100.SH,20201231,内部抵销,3
601258.SH,20201231,汽车销售-卡车,3
601928.SH,20200630,内部抵销,3
002739.SZ,20200630,票房,3
601928.SH,20201231,内部抵销,3
600100.SH,20210630,内部抵销,3
601258.SH,20191231,汽车销售-微面,3
601258.SH,20191231,汽车销售-卡车,3
002052.SZ,20191231,平台交付及运维,3
601236.SH,20191231,投资银行业务,3
002052.SZ,20191231,其他业务,3
600098.SH,20210630,充电桩,3
002797.SZ,20200630,未分配项目,3
002797.SZ,20200630,证券经纪业务,3
000698.SZ,20210630,其他主营业务,3
600546.SH,20201231,运输,3
600098.SH,20210630,热力,3
000698.SZ,20200630,其他主营业务,3
000698.SZ,20190630,糊树脂,3
002797.SZ,20191231,证券经纪业务,3
000698.SZ,20190630,其他主营业务,3
600098.SH,20201231,充电桩,3
002736.SZ,20210630,其他主营业务,3
600251.SH,20181231,仓储物流,3
000698.SZ,20181231,糊树脂,3
600251.SH,20181231,农业产品收入,3
002797.SZ,20200630,内部抵销,3
601919.SH,20181231,内部抵销,3
601258.SH,20191231,其他种类汽车销售,3
002052.SZ,20181231,其他设备,3
600108.SH,20201231,其他业务,3
600834.SH,20191231,地铁一号线,3
002797.SZ,20190630,证券经纪业务,3
600108.SH,20201231,工业收入,3
600108.SH,20201231,贸易收入,3
002052.SZ,20181231,卫星电视用户终端设备,3
002797.SZ,20191231,内部抵销,3
600546.SH,20181231,其他矿产品,3
002797.SZ,20191231,未分配项目,3
601919.SH,20210630,内部抵销,3
601919.SH,20201231,内部抵销,3
601919.SH,20200630,内部抵销,3
601919.SH,20191231,内部抵销,3
601919.SH,20190630,内部抵销,3
601258.SH,20191231,汽车销售-乘用车,3
002797.SZ,20181231,未分配项目,3
002797.SZ,20181231,证券投资业务,3
002069.SZ,20200630,海螺,3
601236.SH,20190630,未分配支出,3
601236.SH,20190630,投资银行业务,3
000089.SZ,20191231,航空增值收入,3
601236.SH,20190630,分部间抵销,3
000099.SZ,20190630,航空维修业,3
000099.SZ,20191231,内部抵销,3
000831.SZ,20191231,稀土金属及合金,3
000099.SZ,20190630,内部抵销,3
000099.SZ,20200630,航空维修业,3
600104.SH,20181231,其他业务,3
601236.SH,20181231,资产管理业务,3
002069.SZ,20191231,海螺,3
601236.SH,20181231,证券经纪业务,3
601238.SH,20151231,其他业务,3
000089.SZ,20201231,航空主业收入,3
000089.SZ,20201231,航空增值收入,3
601236.SH,20191231,未分配支出,3
601236.SH,20201231,资产管理业务,3
601236.SH,20200630,分部间抵销,3
601236.SH,20200630,投资银行业务,3
601236.SH,20200630,未分配支出,3
601236.SH,20191231,分部间抵销,3
601236.SH,20201231,分部间抵销,3
601236.SH,20201231,未分配支出,3
601236.SH,20210630,分部间抵销,3
002069.SZ,20210630,海螺,3
600236.SH,20181231,火力发电,3
600236.SH,20190630,分部抵消,3
601236.SH,20210630,未分配支出,3
600236.SH,20191231,火力发电,3
601236.SH,20210630,销售交易业务,3
600236.SH,20210630,其他主营业务,3
601238.SH,20160630,其他业务,3
601238.SH,20161231,其他业务,3
000089.SZ,20190630,内部抵销,3
300251.SZ,20190630,电影,3
600415.SH,20201231,展览广告,3
002310.SZ,20201231,工业废弃物销售,3
002310.SZ,20210630,工业废弃物销售,3
600108.SH,20181231,其他业务,3
002797.SZ,20181231,投资银行业务,3
600415.SH,20181231,酒店服务,3
000839.SZ,20201231,有线电视业务,3
300182.SZ,20181231,影视版权运营及服务,3
000839.SZ,20210630,内部抵销,3
000839.SZ,20210630,有线电视业务,3
000703.SZ,20181231,原料贸易,3
002739.SZ,20201231,票房,3
002739.SZ,20201231,电视剧制作发行及相关业务收入,3
601928.SH,20210630,内部抵销,3
600418.SH,20201231,乘用车,3
002797.SZ,20181231,内部抵销,3
601236.SH,20181231,分部间抵销,3
002065.SZ,20210630,其他业务,3
600675.SH,20190630,商品销售,3
600675.SH,20190630,工程施工,3
600675.SH,20191231,工程施工,3
000698.SZ,20181231,其他主营业务,3
600675.SH,20201231,其他业务,3
601236.SH,20181231,未分配支出,3
600675.SH,20201231,工程施工,3
601238.SH,20181231,其他业务,3
601238.SH,20180630,其他业务,3
601238.SH,20171231,其他业务,3
000089.SZ,20181231,航空增值收入,3
601238.SH,20170630,其他业务,3
601236.SH,20181231,私募投资基金业务,3
601162.SH,20210630,私募基金业务,3
601918.SH,20180630,其他业务,3
600251.SH,20181231,甜菜粕,3
600549.SH,20200630,房地产开发及物业管理,3
601898.SH,20181231,内部抵销,3
601898.SH,20181231,其他主营业务,3
601898.SH,20181231,其他业务,3
000875.SZ,20210630,热产品,3
600662.SH,20201231,出租汽车营运业务,3
600662.SH,20191231,出租汽车营运业务,3
600266.SH,20181231,物业管理,3
600266.SH,20190630,物业管理,3
600085.SH,20210630,其他业务,3
002736.SZ,20201231,其他主营业务,3
600085.SH,20201231,分部抵消,3
600549.SH,20210630,房地产开发及物业管理,3
002038.SZ,20181231,其他主营业务,3
600266.SH,20191231,物业管理,3
000876.SZ,20210630,猪产业,3
600266.SH,20201231,物业管理,3
601881.SH,20210630,投资银行业务,3
601881.SH,20210630,内部抵销,3
000875.SZ,20201231,运维、综合智慧能源及其他,3
000875.SZ,20201231,热产品,3
601898.SH,20190630,内部抵销,3
002673.SZ,20181231,投资银行业务,3
002673.SZ,20191231,其他,3
002673.SZ,20190630,资产管理业务,3
002673.SZ,20190630,研发业务,3
000875.SZ,20181231,其他主营业务,3
000875.SZ,20181231,热产品,3
600021.SH,20191231,工程项目,3
000875.SZ,20190630,其他主营业务,3
000875.SZ,20190630,热产品,3
601898.SH,20201231,内部抵销,3
002673.SZ,20190630,信用交易业务,3
000875.SZ,20191231,热产品,3
601898.SH,20200630,内部抵销,3
002673.SZ,20181231,研发业务,3
000875.SZ,20200630,其他业务,3
601898.SH,20191231,内部抵销,3
002673.SZ,20181231,新三板业务,3
000875.SZ,20200630,热产品,3
601881.SH,20210630,其他主营业务,3
601881.SH,20201231,内部抵销,3
601881.SH,20201231,其他主营业务,3
600395.SH,20181231,内部抵销,3
601005.SH,20201231,其他主营业务,3
601878.SH,20210630,总部后台及其他,3
601005.SH,20200630,其他主营业务,3
601878.SH,20201231,总部后台及其他,3
601878.SH,20200630,直接投资业务,3
601878.SH,20200630,总部后台及其他,3
601878.SH,20200630,内部抵销,3
002032.SZ,20170630,电锅类,3
601878.SH,20191231,总部后台及其他,3
601878.SH,20191231,内部抵销,3
000878.SZ,20181231,球团矿,3
601878.SH,20190630,总部后台及其他,3
601878.SH,20190630,内部抵销,3
601878.SH,20181231,资产管理业务,3
002032.SZ,20160630,其他业务,3
601878.SH,20181231,总部后台及其他,3
601878.SH,20181231,内部抵销,3
601005.SH,20210630,其他业务,3
600267.SH,20181231,其他主营业务,3
601881.SH,20200630,投资银行业务,3
600395.SH,20181231,电力,3
601881.SH,20200630,内部抵销,3
601881.SH,20200630,其他主营业务,3
601881.SH,20191231,内部抵销,3
601881.SH,20191231,其他主营业务,3
600660.SH,20200630,其他主营业务,3
600660.SH,20191231,其他主营业务,3
600851.SH,20190630,分部抵消,3
601881.SH,20190630,内部抵销,3
601881.SH,20190630,其他主营业务,3
601881.SH,20181231,自营业务,3
601881.SH,20181231,私募股权投资业务,3
600660.SH,20190630,其他主营业务,3
601881.SH,20181231,内部抵销,3
601881.SH,20181231,其他主营业务,3
600851.SH,20210630,分部抵消,3
002378.SZ,20191231,硬质合金系列,3
002378.SZ,20200630,硬质合金系列,3
002673.SZ,20191231,内部抵销,3
000685.SZ,20201231,客运服务,3
002673.SZ,20191231,资产管理业务,3
600096.SH,20201231,磷酸,3
601901.SH,20210630,其他业务,3
601901.SH,20201231,其他业务,3
002714.SZ,20201231,屠宰、肉食产品,3
002714.SZ,20201231,减:生猪与屠宰、肉食之间销售抵消,3
002714.SZ,20201231,其他主营业务,3
601901.SH,20200630,内部抵销,3
601901.SH,20200630,其他业务,3
002714.SZ,20191231,其他主营业务,3
601901.SH,20191231,内部抵销,3
601901.SH,20191231,其他业务,3
601901.SH,20190630,内部抵销,3
601901.SH,20190630,其他业务,3
600837.SH,20181231,证券投资业务,3
601901.SH,20181231,投资银行业务,3
601901.SH,20181231,内部抵销,3
601901.SH,20181231,其他业务,3
600837.SH,20190630,管理部门及其他,3
601901.SH,20210630,内部抵销,3
601012.SH,20200630,其他主营业务,3
600096.SH,20190630,甲醇,3
601012.SH,20200630,分部抵消,3
002736.SZ,20200630,其他主营业务,3
600251.SH,20191231,甜菜粕,3
002736.SZ,20191231,其他主营业务,3
002736.SZ,20190630,其他主营业务,3
600666.SH,20201231,精雕机,3
600666.SH,20191231,其它,3
600666.SH,20181231,蓝宝石晶棒,3
601918.SH,20180630,煤炭,3
002797.SZ,20201231,未分配项目,3
002344.SZ,20181231,健康医疗服务,3
002344.SZ,20191231,健康医疗服务,3
600547.SH,20181231,建筑材料,3
002344.SZ,20201231,健康医疗服务,3
600547.SH,20190630,铁砂,3
600547.SH,20191231,小金条,3
600547.SH,20201231,小金条,3
601012.SH,20210630,分部抵消,3
600837.SH,20200630,管理部门及其他,3
000301.SZ,20200630,PTA(行业),3
002673.SZ,20200630,其他,3
600548.SH,20201231,餐厨垃圾处理项目运营,3
000686.SZ,20190630,其他主营业务,3
601899.SH,20201231,内部抵销,3
000686.SZ,20181231,资产管理业务,3
600548.SH,20210630,其他主营业务,3
000686.SZ,20181231,基金业务,3
000686.SZ,20181231,其他主营业务,3
600663.SH,20200630,酒店业收入,3
600839.SH,20191231,通讯产品,3
601899.SH,20191231,内部抵销,3
601899.SH,20181231,内部抵销,3
601899.SH,20181231,其他业务,3
002673.SZ,20201231,资产管理业务,3
002673.SZ,20201231,总部及其他,3
002673.SZ,20201231,内部抵销,3
002673.SZ,20200630,资产管理业务,3
600088.SH,20201231,广告业务,3
002673.SZ,20200630,内部抵销,3
000686.SZ,20190630,内部抵销,3
600839.SH,20181231,通讯产品,3
600837.SH,20201231,管理部门及其他,3
002049.SZ,20200630,存储器芯片业务,3
000301.SZ,20200630,切片等聚酯产品,3
000301.SZ,20201231,PTA(行业),3
000301.SZ,20201231,切片等聚酯产品,3
600837.SH,20210630,管理部门及其他,3
000686.SZ,20210630,内部抵销,3
000686.SZ,20210630,其他主营业务,3
000686.SZ,20201231,期货经纪业务,3
000686.SZ,20201231,内部抵销,3
600548.SH,20200630,水官高速,3
600548.SH,20200630,清连公路,3
000686.SZ,20200630,期货经纪业务,3
000686.SZ,20200630,内部抵销,3
000686.SZ,20200630,其他主营业务,3
600548.SH,20201231,外环高速,3
002049.SZ,20201231,存储器芯片业务,3
000686.SZ,20191231,内部抵销,3
000686.SZ,20191231,其他主营业务,3
002797.SZ,20201231,内部抵销,3
601233.SH,20200630,切片,3
601233.SH,20210630,分部间抵销,3
000059.SZ,20201231,其他主营业务,3
002244.SZ,20201231,其他业务,3
600123.SH,20111231,其他收入,3
000728.SZ,20201231,其他,3
600804.SH,20181231,广告传媒,3
002244.SZ,20210630,房产租赁,3
600438.SH,20201231,内部抵销,3
600123.SH,20110630,其他收入,3
600438.SH,20201231,光伏板块内部交易抵减,3
002092.SZ,20201231,粘胶纤维(行业),3
000728.SZ,20200630,其他,3
002092.SZ,20200630,粘胶纤维(行业),3
002092.SZ,20200630,电,3
601216.SH,20190630,其他主营业务,3
000728.SZ,20191231,其他,3
600438.SH,20191231,光伏板块内部交易抵减,3
002092.SZ,20191231,电,3
600121.SH,20210630,其他业务,3
600123.SH,20120630,其他收入,3
002244.SZ,20200630,其他业务,3
000061.SZ,20201231,内部抵销,3
000728.SZ,20210630,其他,3
600123.SH,20201231,内部抵销,3
601107.SH,20201231,商品销售,3
601107.SH,20201231,其他业务,3
600123.SH,20191231,内部抵销,3
601107.SH,20200630,资产租赁,3
600123.SH,20190630,其他收入,3
600123.SH,20181231,内部抵销,3
601107.SH,20200630,商品销售,3
600518.SH,20201231,医药器械,3
600210.SH,20201231,房地产开发,3
000059.SZ,20181231,ABS工程塑料制品,3
000059.SZ,20190630,ABS工程塑料制品,3
002244.SZ,20181231,其他业务,3
000059.SZ,20190630,甲醇,3
000059.SZ,20191231,其他主营业务,3
601107.SH,20181231,工程施工,3
601107.SH,20181231,其他业务,3
600121.SH,20201231,电力,3
600438.SH,20190630,内部抵销,3
000728.SZ,20181231,证券投资业务,3
600121.SH,20201231,其他业务,3
600808.SH,20210630,其他业务,3
000725.SZ,20181231,内部抵销,3
600703.SH,20201231,化合物半导体,3
600436.SH,20210630,骨伤科用药,3
600436.SH,20210630,感冒用药,3
601991.SH,20201231,热力销售,3
600436.SH,20210630,妇产科用药,3
601991.SH,20191231,热力销售,3
600117.SH,20191231,弹簧钢,3
600436.SH,20201231,糖尿病用药,3
601991.SH,20181231,热力销售,3
000061.SZ,20181231,内部抵销,3
000061.SZ,20190630,内部抵销,3
000061.SZ,20191231,其他业务,3
000061.SZ,20191231,内部抵销,3
600117.SH,20181231,碳结钢,3
000061.SZ,20200630,内部抵销,3
000725.SZ,20190630,内部抵销,3
000725.SZ,20200630,内部抵销,3
000725.SZ,20201231,内部抵销,3
600121.SH,20190630,其他业务,3
600121.SH,20200630,电力,3
000728.SZ,20181231,其他,3
600121.SH,20200630,其他业务,3
002092.SZ,20190630,电,3
600121.SH,20191231,电力,3
600121.SH,20191231,其他业务,3
600121.SH,20190630,电力,3
002092.SZ,20181231,电,3
300133.SZ,20210630,内部抵销,3
600121.SH,20181231,其他业务,3
600438.SH,20181231,光伏板块内部交易抵减,3
000822.SZ,20200630,纯碱,3
300133.SZ,20200630,影院票房,3
300133.SZ,20201231,其他主营业务,3
300133.SZ,20201231,内部抵销,3
300133.SZ,20201231,影院票房,3
601107.SH,20210630,其他业务,3
600705.SH,20190630,投资银行业务,3
600705.SH,20191231,手续费及佣金收入:其他,3
600795.SH,20200630,其他收入,3
601211.SH,20191231,其他业务,3
002110.SZ,20191231,带钢,3
002110.SZ,20191231,外购钢材,3
600717.SH,20201231,销售业务,3
601211.SH,20201231,其他业务,3
600717.SH,20201231,内部抵销,3
600795.SH,20181231,内部抵销,3
002945.SZ,20190630,投资银行业务,3
600795.SH,20181231,热力产品,3
002945.SZ,20190630,其他业务,3
601211.SH,20210630,其他业务,3
600717.SH,20200630,内部抵销,3
002945.SZ,20181231,证券经纪业务,3
600795.SH,20190630,热力产品,3
002945.SZ,20181231,其他业务,3
600795.SH,20191231,其他收入,3
600717.SH,20191231,内部抵销,3
000800.SZ,20181231,整车,3
002110.SZ,20200630,外购钢材,3
000800.SZ,20181231,备品,3
600200.SH,20190630,化工行业,3
000031.SZ,20200630,酒店经营,3
002120.SZ,20181231,中转费,3
600787.SH,20171231,其他业务,3
600787.SH,20181231,其他业务,3
300104.SZ,20201231,分部抵消,3
300104.SZ,20210630,分部抵消,3
600456.SH,20200630,其他业务,3
600200.SH,20191231,化工行业,3
000800.SZ,20181231,其他业务,3
002110.SZ,20201231,带钢,3
600200.SH,20200630,内部抵销,3
600200.SH,20200630,化工行业,3
601211.SH,20181231,其他业务,3
600200.SH,20201231,其他业务,3
600200.SH,20201231,化工行业,3
601211.SH,20190630,其他业务,3
600795.SH,20191231,热力产品,3
600795.SH,20200630,热力产品,3
601212.SH,20201231,阴极铜,3
600717.SH,20190630,内部抵销,3
600125.SH,20191231,其他主营业务,3
000039.SZ,20210630,重卡,3
600125.SH,20190630,其他主营业务,3
002939.SZ,20210630,其他,3
002939.SZ,20201231,其他,3
002939.SZ,20200630,其他,3
002939.SZ,20191231,其他,3
600208.SH,20190630,分部间抵销,3
002939.SZ,20190630,其他,3
601212.SH,20181231,银,3
600208.SH,20191231,海涂开发,3
600208.SH,20200630,分部间抵销,3
002939.SZ,20181231,其他,3
600208.SH,20201231,其他主营业务,3
600208.SH,20201231,海涂开发,3
600208.SH,20210630,分部间抵销,3
600705.SH,20201231,手续费及佣金收入:其他,3
300122.SZ,20200630,其他业务,3
000039.SZ,20201231,重卡,3
600125.SH,20200630,其他主营业务,3
601108.SH,20181231,证券投资业务,3
600795.SH,20201231,其他收入,3
600795.SH,20201231,热力产品,3
600717.SH,20181231,内部抵销,3
600795.SH,20210630,其他收入,3
600795.SH,20210630,热力产品,3
601108.SH,20201231,内部抵销,3
601108.SH,20190630,直投业务,3
000039.SZ,20190630,重卡,3
000039.SZ,20201231,海洋工程业务,3
601108.SH,20181231,投资银行业务,3
601108.SH,20181231,内部抵销,3
300122.SZ,20171231,其他业务,3
300122.SZ,20181231,其他业务,3
000039.SZ,20200630,海洋工程业务,3
600125.SH,20201231,其他主营业务,3
300122.SZ,20191231,其他业务,3
600436.SH,20200630,糖尿病用药,3
600436.SH,20200630,感冒用药,3
002797.SZ,20201231,证券经纪业务,3
002292.SZ,20201231,信息服务类,3
601966.SH,20190630,机械业务,3
000069.SZ,20190630,其他业务,3
002292.SZ,20201231,电视媒体,3
002292.SZ,20210630,信息服务类,3
000069.SZ,20191231,其他业务,3
002292.SZ,20210630,其他类,3
600109.SH,20210630,资产管理业务,3
000712.SZ,20201231,证券投资业务,3
000712.SZ,20201231,私募基金业务,3
000712.SZ,20201231,总部其他,3
000712.SZ,20201231,内部抵销,3
600109.SH,20200630,资产管理业务,3
601958.SH,20201231,铁粉,3
601958.SH,20201231,硫酸,3
601958.SH,20201231,其他业务,3
600109.SH,20191231,资产管理业务,3
000712.SZ,20200630,私募基金业务,3
002292.SZ,20201231,其他类,3
002292.SZ,20200630,电视媒体,3
600436.SH,20200630,心血管用药,3
601966.SH,20200630,机械业务,3
601098.SH,20191231,报媒-报纸发行,3
600688.SH,20201231,合成纤维,3
600688.SH,20200630,合成纤维,3
600688.SH,20200630,中间石化产品,3
600688.SH,20191231,合成纤维,3
600688.SH,20190630,合成纤维,3
600688.SH,20181231,合成纤维,3
002292.SZ,20181231,游戏类,3
600231.SH,20190630,其他业务,3
600426.SH,20201231,多元醇,3
600231.SH,20191231,其他业务,3
002292.SZ,20190630,其他类,3
601098.SH,20181231,报媒-报纸发行,3
002292.SZ,20190630,电视媒体,3
002292.SZ,20191231,其他类,3
601966.SH,20210630,机械业务,3
002292.SZ,20200630,其他类,3
601958.SH,20191231,铁粉,3
600109.SH,20190630,资产管理业务,3
601958.SH,20191231,硫酸,3
000712.SZ,20200630,总部其他,3
600685.SH,20200630,油船,3
601233.SH,20191231,贸易,3
600685.SH,20191231,集装箱船,3
000712.SZ,20181231,内部抵销,3
601233.SH,20200630,分部间抵销,3
002032.SZ,20141231,炊具产品,3
600685.SH,20191231,油船,3
600685.SH,20190630,造船业务,3
600233.SH,20201231,其他业务,3
002294.SZ,20191231,其他业务,3
002797.SZ,20210630,投资银行业务,3
600685.SH,20181231,特种船及其他,3
600685.SH,20181231,海工,3
600685.SH,20181231,油船,3
600685.SH,20181231,机电产品及其他,3
002797.SZ,20210630,内部抵销,3
002797.SZ,20210630,其他业务,3
600685.SH,20200630,海工,3
600820.SH,20201231,房地产业,3
600685.SH,20200630,集装箱船,3
601958.SH,20181231,其他主营业务,3
601958.SH,20191231,其他主营业务,3
600109.SH,20190630,投资银行业务,3
000712.SZ,20200630,内部抵销,3
601958.SH,20181231,铁粉,3
000712.SZ,20191231,私募基金业务,3
601958.SH,20181231,硫酸,3
601233.SH,20190630,分部间抵销,3
000712.SZ,20191231,总部其他,3
000712.SZ,20190630,总部其他,3
000712.SZ,20191231,另类投资业务,3
000712.SZ,20191231,内部抵销,3
000712.SZ,20190630,结构化主体业务,3
000712.SZ,20190630,私募基金业务,3
600685.SH,20201231,集装箱船,3
600685.SH,20201231,海工,3
600685.SH,20201231,油船,3
600688.SH,20210630,其他主营业务,3
600688.SH,20210630,合成纤维,3
601969.SH,20201231,油气开采,3
000718.SZ,20181231,天御广场,3
601989.SH,20191231,海洋运输装备,3
000063.SZ,20181231,其他业务,3
300142.SZ,20191231,服务收入,3
601989.SH,20190630,内部抵销,3
000063.SZ,20201231,其他业务,3
600811.SH,20180630,其他收入,3
002081.SZ,20210630,其他主营业务,3
002081.SZ,20200630,其他主营业务,3
600811.SH,20191231,土地及房地产开发,3
000718.SZ,20191231,天润城,3
600811.SH,20200630,土地及房地产开发,3
000718.SZ,20191231,天氿御城,3
000718.SZ,20191231,天御广场,3
000718.SZ,20191231,天御国际广场,3
601099.SH,20210630,资产管理业务,3
601099.SH,20210630,其他业务,3
000718.SZ,20181231,文化创意业,3
300142.SZ,20191231,其他业务,3
601989.SH,20200630,海洋运输装备,3
601989.SH,20201231,海洋运输装备,3
600436.SH,20181231,感冒用药,3
000061.SZ,20210630,内部抵销,3
300136.SZ,20190630,其他业务,3
600117.SH,20181231,合结钢,3
600436.SH,20200630,其他业务,3
600436.SH,20191231,感冒用药,3
600436.SH,20190630,感冒用药,3
002269.SZ,20200630,其他业务,3
601101.SH,20210630,化工,3
601989.SH,20210630,海洋运输装备,3
601101.SH,20210630,分部间抵销,3
601101.SH,20201231,甲醇,3
601101.SH,20200630,化工,3
600432.SH,20201231,钴系列产品,3
600432.SH,20200630,钴系列产品,3
600432.SH,20200630,其他主营业务,3
600432.SH,20191231,其他业务,3
000718.SZ,20181231,天氿御城,3
601099.SH,20201231,其他业务,3
601098.SH,20201231,报媒-报纸发行,3
000718.SZ,20181231,吉林天润城,3
600428.SH,20190630,沥青船,3
300144.SZ,20200630,杭州宋城旅游区,3
600428.SH,20181231,沥青船,3
300144.SZ,20201231,张家界宋城旅游区,3
600812.SH,20181231,医药中间体,3
600221.SH,20200630,客运收入,3
600221.SH,20200630,货运及逾重行李收入,3
600221.SH,20201231,客运收入,3
600221.SH,20201231,货运及逾重行李收入,3
600221.SH,20210630,客运收入,3
600221.SH,20210630,货运及逾重行李收入,3
000717.SZ,20190630,特殊钢,3
000717.SZ,20190630,焦化产品及其他,3
600812.SH,20191231,医药中间体,3
002078.SZ,20201231,溶解浆,3
002078.SZ,20201231,化学浆,3
002275.SZ,20210630,其他主营业务,3
300144.SZ,20191231,景区配套交通服务,3
600428.SH,20191231,沥青船,3
600428.SH,20200630,木材船,3
601099.SH,20190630,内部抵销,3
601099.SH,20201231,信用业务,3
601099.SH,20200630,资产管理业务,3
601099.SH,20200630,证券投资业务,3
601099.SH,20200630,其他业务,3
601099.SH,20191231,资产管理业务,3
601099.SH,20191231,其他业务,3
601099.SH,20190630,投资银行业务,3
601099.SH,20190630,其他业务,3
600428.SH,20201231,木材船,3
601099.SH,20181231,资产管理业务,3
601099.SH,20181231,证券经纪业务,3
601099.SH,20181231,证券投资业务,3
601099.SH,20181231,内部抵销,3
601099.SH,20181231,其他业务,3
601099.SH,20181231,信用业务,3
000066.SZ,20190630,其他主营业务,3
002032.SZ,20141231,电器产品,3
300498.SZ,20201231,其他养殖,3
002032.SZ,20141231,橡塑产品,3
000968.SZ,20201231,技术服务,3
600596.SH,20190630,内部抵销,3
600968.SH,20201231,内部抵销,3
600596.SH,20191231,其他业务,3
601588.SH,20181231,其他主营业务,3
600968.SH,20191231,内部抵销,3
600320.SH,20181231,南京宁高BT项目,3
601588.SH,20190630,其他主营业务,3
600320.SH,20181231,钢结构,3
600968.SH,20181231,内部抵销,3
600596.SH,20201231,其他业务,3
600320.SH,20200630,船舶运输,3
601588.SH,20191231,其他主营业务,3
600320.SH,20210630,南京宁高BT项目,3
600320.SH,20210630,海上重型装备,3
601588.SH,20200630,其他主营业务,3
601668.SH,20201231,内部抵销,3
601588.SH,20200630,成都北辰香麓,3
600596.SH,20181231,内部抵销,3
000968.SZ,20201231,气井建造工程,3
601588.SH,20201231,其他主营业务,3
000968.SZ,20210630,其他主营业务,3
601688.SH,20200630,其他主营业务,3
600595.SH,20181231,电解铝,3
600595.SH,20181231,蒸汽,3
601688.SH,20191231,内部抵销,3
601566.SH,20201231,其他业务,3
601688.SH,20190630,内部抵销,3
601688.SH,20190630,其他主营业务,3
601688.SH,20181231,机构服务,3
601566.SH,20210630,其他业务,3
601688.SH,20181231,内部抵销,3
600316.SH,20181231,通航服务,3
000933.SZ,20190630,氢氧化铝,3
000933.SZ,20190630,氧化铝,3
000550.SZ,20201231,汽车保养服务,3
000550.SZ,20210630,汽车保养服务,3
600352.SH,20210630,内部抵销,3
000968.SZ,20210630,气井建造工程,3
601668.SH,20191231,内部抵销,3
601668.SH,20190630,内部抵销,3
601688.SH,20201231,其他主营业务,3
000612.SZ,20181231,铝合金,3
000963.SZ,20181231,分部间抵销,3
600350.SH,20210630,内部抵销,3
600961.SH,20201231,硫酸,3
600961.SH,20191231,硫酸,3
600350.SH,20200630,内部抵销,3
600961.SH,20181231,锌产品,3
600961.SH,20181231,铅产品,3
600961.SH,20181231,稀贵产品,3
600350.SH,20190630,内部抵销,3
600331.SH,20181231,其他主营业务,3
600331.SH,20181231,工程设计服务,3
601666.SH,20200630,其他洗煤,3
600331.SH,20181231,物业管理,3
600331.SH,20181231,酒店收入,3
600331.SH,20181231,锌产品,3
600350.SH,20181231,内部抵销,3
600331.SH,20190630,其他主营业务,3
